Current (mA) - Plot 0	Pressure (psi) - Plot 0	Current (mA) - Plot 1	Pressure (psi) - Plot 1	Current (mA) - Plot 2	Pressure (psi) - Plot 2	
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17.1m	-3k					
-17m	-3k					
-17.1m	-3k					
-17m	-3k					
-17.1m	-3k					
-17m	-3k					
-17m	-3k					
-17.1m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17.1m	-3k					
-17m	-3k					
-17.1m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17.1m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-16.9m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-16.9m	-3k					
-17m	-3k					
-17m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-17m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-17m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-17m	-3k					
-17m	-3k					
-17m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.9m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.8m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.6m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.6m	-3k					
-16.7m	-3k					
-16.6m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.7m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.7m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.7m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.6m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
-16.5m	-3k					
