Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
-7.9m	967.3m					
-7.8m	967m					
-7.9m	967.1m					
-7.8m	967.2m					
-7.9m	967m					
-7.8m	967.2m					
-7.8m	965.4m					
-7.8m	963m					
-7.9m	963m					
-7.9m	963.3m					
-7.8m	962.9m					
-7.9m	963.1m					
-7.9m	963.2m					
-7.9m	963.1m					
-7.8m	961m					
-7.9m	958m					
-7.9m	957.8m					
-7.9m	957.7m					
-7.9m	957.9m					
-7.9m	957.7m					
-7.9m	957.8m					
-7.9m	957.9m					
-7.9m	957.7m					
-7.8m	956.5m					
-7.9m	956.6m					
-7.9m	956.4m					
-7.9m	956.4m					
-7.9m	956.6m					
-7.9m	956.3m					
-7.9m	956.4m					
-7.9m	956.6m					
-7.9m	961.9m					
-7.9m	964.5m					
-7.9m	964.6m					
-7.9m	964.4m					
-7.9m	964.5m					
-7.9m	964.5m					
-7.9m	964.4m					
-7.9m	964.4m					
-7.9m	967.4m					
-8m	969.1m					
-7.9m	969.2m					
-7.9m	969.1m					
-7.9m	969m					
-7.9m	969.1m					
-8m	969.1m					
-7.9m	969m					
-8m	968.2m					
-7.9m	965.1m					
-7.9m	965.1m					
-7.9m	965.2m					
-7.9m	965.1m					
-7.9m	965.1m					
-7.9m	965.3m					
-7.9m	965m					
-7.9m	965.3m					
-8m	966.6m					
-7.9m	966.4m					
-8m	966.4m					
-7.9m	966.5m					
-8m	966.4m					
-8m	966.4m					
-8m	966.6m					
-8m	966.4m					
-7.9m	971.4m					
-8m	972.6m					
-8m	972.4m					
-8m	972.4m					
-8m	972.5m					
-8m	972.3m					
-8m	972.4m					
-8m	972.6m					
-8m	972.3m					
-8m	972.4m					
-8m	972.5m					
-8m	972.4m					
-8m	972.4m					
-8m	972.5m					
-8m	972.4m					
-8m	972.4m					
-8m	979.7m					
-8m	982.3m					
-8m	982.5m					
-8m	982.6m					
-8m	982.4m					
-8m	982.4m					
-8m	982.6m					
-8m	982.4m					
-8m	977.8m					
-8m	969.3m					
-8m	969m					
-8m	969.1m					
-8m	969.2m					
-8m	969m					
-8m	969m					
-8m	969.2m					
-8m	968.7m					
-8.1m	967.7m					
-8.1m	967.8m					
-8m	967.6m					
-8m	967.7m					
-8m	967.8m					
-8.1m	967.7m					
-8m	967.8m					
-8m	967.8m					
-8.1m	976.7m					
-8m	977.8m					
-8.1m	977.7m					
-8m	977.7m					
-8.1m	977.8m					
-8m	977.7m					
-8.1m	977.6m					
-8.1m	977.8m					
-8.1m	982.3m					
-8.1m	983m					
-8.1m	983.2m					
-8.1m	983.1m					
-8m	983m					
-8.1m	983.2m					
-8m	983m					
-8.1m	983.1m					
-8.1m	982.3m					
-8.1m	981.8m					
-8.1m	981.7m					
-8.1m	981.8m					
-8.1m	981.7m					
-8.1m	981.7m					
