Pressure (psi) - Plot 0	Flow (GPM) - Plot 0	Pressure (psi) - Plot 1	Flow (GPM) - Plot 1	Pressure (psi) - Plot 2	Flow (GPM) - Plot 2	
294.4	1.3					
295	1.3					
294.6	1.3					
294	1.3					
294.8	1.3					
294.8	1.3					
294.3	1.3					
294.5	1.3					
293.7	1.3					
293.7	1.3					
294.1	1.3					
294.1	1.3					
294	1.3					
293.8	1.3					
292.9	1.3					
293.4	1.3					
293.6	1.3					
293.4	1.3					
294.6	1.3					
294.6	1.3					
293.9	1.3					
294.7	1.3					
294.6	1.3					
293.9	1.3					
295.4	1.3					
295	1.3					
294.2	1.3					
295.3	1.3					
295.2	1.3					
294.5	1.3					
295.7	1.3					
295.4	1.3					
294.5	1.3					
295.3	1.3					
294.6	1.3					
294.3	1.3					
295.4	1.3					
295.3	1.3					
294.9	1.3					
294.9	1.3					
294.2	1.3					
294.4	1.3					
294.6	1.3					
294.1	1.3					
294.4	1.3					
294.1	1.3					
293.2	1.3					
293.8	1.3					
294	1.3					
293.3	1.3					
294.4	1.3					
294	1.3					
292.9	1.3					
294	1.3					
293.9	1.3					
293.1	1.3					
294.8	1.3					
294.6	1.3					
293.4	1.3					
294.5	1.3					
294.5	1.3					
293.9	1.3					
295.3	1.3					
295.3	1.3					
294.4	1.3					
295.2	1.3					
294.8	1.3					
294.8	1.3					
295.7	1.3					
295.3	1.3					
295.2	1.3					
295.4	1.3					
294.4	1.3					
294.7	1.3					
294.9	1.3					
294.4	1.3					
295.2	1.3					
294.5	1.3					
293.6	1.3					
294.2	1.3					
294.2	1.3					
293	1.3					
294.3	1.3					
294.2	1.3					
292.7	1.3					
293.5	1.3					
293.5	1.3					
292.7	1.3					
294.3	1.3					
294.3	1.3					
293	1.3					
293.7	1.3					
293.4	1.3					
292.8	1.3					
293.6	1.3					
293.8	1.3					
293.3	1.3					
293.9	1.3					
293.7	1.3					
293.7	1.3					
294.5	1.3					
294.6	1.3					
294.9	1.3					
295	1.3					
294.4	1.3					
294.7	1.3					
295.1	1.3					
294.6	1.3					
295.4	1.3					
295.3	1.3					
294.2	1.3					
294.8	1.3					
295.1	1.3					
294.3	1.3					
295.4	1.3					
295.2	1.3					
294.1	1.3					
294.8	1.3					
294.5	1.3					
294	1.3					
295	1.3					
294.8	1.3					
293.8	1.3					
294.1	1.3					
293.5	1.3					
293.2	1.3					
294.2	1.3					
294.4	1.3					
294.2	1.3					
294.7	1.3					
294.3	1.3					
294.4	1.3					
294.9	1.3					
294.4	1.3					
295	1.3					
295	1.3					
294.1	1.3					
294.5	1.3					
294.9	1.3					
294.3	1.3					
295.7	1.3					
295.6	1.3					
294.4	1.3					
295.4	1.3					
295.4	1.3					
294.5	1.3					
296.2	1.3					
295.9	1.3					
294.6	1.3					
295.4	1.3					
294.8	1.3					
294.3	1.3					
295.2	1.3					
295.1	1.3					
294.3	1.3					
294.9	1.3					
294.7	1.3					
295.2	1.3					
296.1	1.3					
296.2	1.3					
296.3	1.3					
296.2	1.3					
295.6	1.3					
296.1	1.3					
296.2	1.3					
295.7	1.3					
296.7	1.3					
296.4	1.3					
295.2	1.3					
296.5	1.3					
296.6	1.3					
295.9	1.3					
297.7	1.3					
297.5	1.3					
296.3	1.3					
297.3	1.3					
297.3	1.3					
296.6	1.3					
298	1.3					
297.9	1.3					
297	1.3					
297.9	1.3					
297.5	1.3					
297.5	1.3					
298.4	1.3					
298.1	1.3					
298.4	1.3					
298.4	1.3					
297.6	1.3					
298.2	1.3					
298.7	1.3					
298.3	1.3					
299.3	1.3					
299.1	1.3					
298.1	1.3					
299.3	1.3					
299.4	1.3					
298.7	1.3					
300.5	1.3					
300.4	1.3					
299.6	1.3					
300.7	1.3					
300.7	1.3					
300.7	1.3					
302.1	1.3					
301.9	1.3					
301.5	1.3					
301.9	1.3					
301.4	1.3					
301.7	1.3					
302.3	1.3					
302	1.3					
302.1	1.3					
302.1	1.3					
301.3	1.3					
302.4	1.3					
302.5	1.3					
302.6	1.3					
303.2	1.3					
302.5	1.3					
301.9	1.3					
302.6	1.3					
302.2	1.3					
302.2	1.3					
303.4	1.3					
302.5	1.3					
302.5	1.3					
303.2	1.3					
302.8	1.3					
303.2	1.3					
304.1	1.3					
303.1	1.3					
303.3	1.3					
303.4	1.3					
302.7	1.3					
303.6	1.3					
304	1.3					
304.1	1.3					
304.5	1.3					
304.2	1.3					
304.1	1.3					
304.9	1.3					
304.6	1.3					
305.4	1.3					
305.5	1.3					
304.3	1.4					
304.8	1.4					
305.2	1.4					
304.4	1.4					
305.7	1.4					
305.9	1.4					
304.6	1.4					
305.5	1.4					
305.4	1.4					
304.6	1.4					
306	1.4					
306.3	1.4					
305.5	1.4					
306	1.4					
305.7	1.4					
305.6	1.4					
306.3	1.4					
305.9	1.4					
306.1	1.4					
305.8	1.4					
304.9	1.4					
305.5	1.4					
305.6	1.4					
305	1.4					
306.1	1.4					
305.6	1.4					
304.3	1.4					
305.5	1.4					
305.3	1.4					
304.5	1.4					
306.1	1.4					
305.5	1.4					
304.8	1.4					
306.3	1.4					
306	1.4					
306.2	1.4					
307.5	1.4					
307.2	1.4					
307	1.4					
307.2	1.4					
306.6	1.4					
307.4	1.4					
307.4	1.4					
307.2	1.4					
308.1	1.4					
307.7	1.4					
306.9	1.4					
308.2	1.4					
307.8	1.4					
308.2	1.4					
309.5	1.4					
308.6	1.4					
308.7	1.4					
309.7	1.4					
309.2	1.4					
309.9	1.4					
311	1.4					
309.9	1.4					
310.4	1.4					
310.6	1.4					
310	1.4					
311.4	1.4					
311.8	1.4					
311.8	1.4					
312.3	1.4					
311.8	1.4					
311.9	1.4					
312.4	1.4					
312.1	1.4					
312.9	1.4					
312.9	1.4					
311.7	1.4					
312.7	1.4					
312.7	1.4					
312.2	1.4					
313.6	1.4					
313.5	1.4					
312.5	1.4					
313.1	1.4					
312.5	1.4					
312.6	1.4					
313.5	1.4					
313.3	1.4					
313.2	1.4					
313.3	1.4					
312.6	1.4					
313.2	1.4					
313	1.4					
313.2	1.4					
313.9	1.4					
313.3	1.4					
313.2	1.4					
314	1.4					
313.5	1.4					
314	1.4					
315.1	1.4					
314.3	1.4					
314.7	1.4					
315.2	1.4					
314.5	1.4					
315.4	1.4					
316	1.4					
315.3	1.4					
315.6	1.4					
315.3	1.4					
315.3	1.4					
316.2	1.4					
316	1.4					
316.4	1.4					
316.2	1.4					
315	1.4					
316	1.4					
315.8	1.4					
315.2	1.4					
316.6	1.4					
315.5	1.4					
314.1	1.4					
314.9	1.4					
314.5	1.4					
314.1	1.4					
315.5	1.4					
315.1	1.4					
315	1.4					
315.3	1.4					
314.6	1.4					
315.4	1.4					
315.7	1.4					
315.3	1.4					
316.2	1.4					
315.7	1.4					
315.2	1.4					
316.3	1.4					
316.1	1.4					
316.6	1.4					
317.8	1.4					
316.3	1.4					
316.7	1.4					
317.6	1.4					
316.5	1.4					
317.9	1.4					
318.2	1.4					
317.2	1.4					
317.9	1.4					
317.9	1.4					
317.9	1.4					
319.3	1.4					
319.4	1.4					
319.3	1.4					
319.6	1.4					
318.6	1.4					
319.3	1.4					
319.3	1.4					
319	1.4					
319.9	1.4					
319.2	1.4					
318.3	1.4					
319.1	1.4					
318.5	1.4					
318.3	1.4					
319.6	1.4					
318.5	1.4					
318.5	1.4					
318.9	1.4					
318	1.4					
318.7	1.4					
319.1	1.4					
318.4	1.4					
318.9	1.4					
318.4	1.4					
317.9	1.4					
318.8	1.4					
318.8	1.4					
319.8	1.4					
320	1.4					
319.2	1.4					
319.8	1.4					
319.9	1.4					
319.1	1.4					
320.5	1.4					
320.4	1.4					
319	1.4					
320	1.4					
319.8	1.4					
319.8	1.4					
